product_id,product_category,product_subcategory,price,listprice,discountprice,supplier,product_availability,eta,order_placement,customer_name,time_of_order,location,quantity,payment_method,carrier,tracking_number,shipment_date,estimated_delivery,actual_delivery,status
ELEC-LAP-0001,Electronics,Laptops,$493.64,$514.21,$493.64,Supplier_10,Out of Stock,2025-05-04,,,,,,,,,,,,
GROC-FRT-0001,Groceries,Fruits,$554.72,$739.63,$554.72,"Supplier_1, Supplier_2",Limited,2025-05-08,,,,,,,,,,,,
GROC-FRT-0002,Groceries,Fruits,$955.13,"$1,326.57",$955.13,"Supplier_4, Supplier_5",Out of Stock,2025-05-15,,,,,,,,,,,,
FURN-DSK-0001,Furniture,Desks,$430.09,$537.61,$430.09,Supplier_6,Limited,2025-05-06,,,,,,,,,,,,
GROC-BEV-0001,Groceries,Beverages,"$1,007.08","$1,144.41","$1,007.08",Supplier_3,Limited,2025-05-10,,,,,,,,,,,,
FURN-CHR-0001,Furniture,Chairs,"$1,137.51","$1,558.23","$1,137.51",Supplier_10,In Stock,2025-05-07,,,,,,,,,,,,
GROC-BEV-0002,Groceries,Beverages,$336.01,$480.01,$336.01,Supplier_6,Out of Stock,2025-05-05,,,,,,,,,,,,
APPR-SHT-0001,Apparel,Shirts,"$1,160.53","$1,196.42","$1,160.53",Supplier_10,In Stock,2025-05-04,,,,,,,,,,,,
GROC-VEG-0001,Groceries,Vegetables,"$1,578.70","$1,594.65","$1,578.70","Supplier_8, Supplier_6",In Stock,2025-05-13,,,,,,,,,,,,
FURN-BED-0001,Furniture,Beds,$289.49,$357.40,$289.49,Supplier_7,In Stock,2025-05-15,,,,,,,,,,,,
FURN-CAB-0001,Furniture,Cabinets,"$1,570.06","$1,635.48","$1,570.06",Supplier_8,Limited,2025-05-16,,,,,,,,,,,,
ELEC-SM-0001,Electronics,Smartphones,"$1,391.14","$1,717.46","$1,391.14","Supplier_8, Supplier_1",Out of Stock,2025-05-14,,,,,,,,,,,,
GROC-FRT-0003,Groceries,Fruits,"$1,149.27","$1,336.36","$1,149.27",Supplier_9,Limited,2025-05-15,,,,,,,,,,,,
