order_placement,customer_name,time_of_order,location,product_id,product_category,product_subcategory,quantity,payment_method,price,supplier,carrier,tracking_number,shipment_date,estimated_delivery,actual_delivery,status
2025-04-26 18:30:18.397769,Holly Garza,21:16:27,"North Josephmouth, Texas, Mayotte - 14361",ELEC-LAP-0004,Electronics,Laptops,1,Debit Card,"$1,077.98",Supplier_9,Perez Ltd,ohT-65103710,2025-04-26,2025-05-02,2025-05-02,Delivered
2025-04-25 04:39:59.312418,Christina Daniel,13:18:15,"South Mariamouth, California, Tajikistan - 70122",GROC-BEV-0007,Groceries,Beverages,5,Paypal,$413.55,"Supplier_10, Supplier_4",Jenkins-Spence,ncp-37245090,2025-04-25,2025-05-02,2025-05-03,Delayed
2025-04-11 09:54:17.196556,Jennifer Ray,13:54:45,"Lake Mary, Nevada, Azerbaijan - 56926",ELEC-LAP-0002,Electronics,Laptops,1,Credit Card,"$1,323.25",Supplier_7,"Bennett, Dawson and Gonzales",AdT-48567892,2025-04-13,2025-04-15,2025-04-15,Delivered
2025-04-16 12:44:17.713403,Jeff Hernandez,08:51:55,"Derekburgh, Maryland, Afghanistan - 01237",FURN-CHR-0002,Furniture,Chairs,5,Paypal,$50.51,Supplier_9,Parks Group,Vxm-08351377,2025-04-17,2025-04-20,,Cancelled
2025-04-14 16:01:20.812293,Jared Sanchez,13:56:13,"West Dawnton, Minnesota, Montenegro - 86077",ELEC-CAM-0006,Electronics,Cameras,1,Debit Card,$626.81,Supplier_6,Walker Inc,oKC-94453999,2025-04-15,2025-04-21,,In Transit
2025-04-04 23:51:10.103614,Terry Parker,06:22:04,"South Lori, Oregon, Micronesia - 95699",GROC-VEG-0008,Groceries,Vegetables,5,Credit Card,$689.03,Supplier_2,House-Richards,koE-23681071,2025-04-04,2025-04-09,2025-04-11,Delayed
2025-04-30 23:59:22.511366,Charles Matthews,10:32:12,"Port Nicole, Alabama, Lesotho - 62086",GROC-BEV-0009,Groceries,Beverages,5,Credit Card,$949.25,Supplier_7,Johnston Ltd,Zxn-98792228,2025-04-30,2025-05-04,2025-05-04,Delivered
2025-04-04 05:35:12.961686,Kimberly Thompson,04:13:16,"West Bryan, Nevada, Gambia - 35832",FURN-BED-0007,Furniture,Beds,3,Paypal,$484.75,"Supplier_9, Supplier_4",Walters LLC,hvp-83693320,2025-04-06,2025-04-11,2025-04-11,Delivered
2025-04-10 20:49:12.722753,Emily Perez,22:27:03,"Caitlinland, Florida, Dominica - 92918",ELEC-CAM-0002,Electronics,Cameras,3,Debit Card,$843.62,"Supplier_2, Supplier_10",Yates LLC,wND-69301966,2025-04-12,2025-04-16,2025-04-16,Delivered
2025-04-07 15:00:08.555845,Joel Johnston,20:03:57,"Port Cynthia, Oregon, Cook Islands - 20218",APPR-SHT-0001,Apparel,Shirts,4,Paypal,"$1,160.53",Supplier_10,Peterson-Smith,WxH-55990987,2025-04-07,2025-04-13,2025-04-13,Delivered
2025-04-23 19:19:34.572519,Aaron Sanchez,05:29:38,"North Kellytown, New York, Maldives - 10489",FURN-CAB-0004,Furniture,Cabinets,2,Paypal,"$1,497.71",Supplier_8,Graves Ltd,bSP-14441500,2025-04-25,2025-04-29,2025-05-01,Delayed
2025-04-21 19:25:43.491810,Dr. Gregory Ruiz,10:02:25,"Davieston, Missouri, American Samoa - 50577",APPR-SHS-0005,Apparel,Shoes,3,Debit Card,"$1,111.78",Supplier_5,Zavala-Butler,VaT-12635741,2025-04-23,2025-04-30,2025-04-30,Delivered
2025-04-04 01:13:25.389631,Lisa Cooper,13:18:48,"Port Steven, Arkansas, French Southern Territories - 44688",AUTO-FIL-0005,Automotive,Filters,3,Debit Card,$282.10,Supplier_3,"Boone, Stokes and Torres",ohp-39767318,2025-04-04,2025-04-10,2025-04-10,Delivered
2025-04-03 21:08:00.631616,Bobby Fuentes,22:02:00,"Jamesbury, New Jersey, Comoros - 52959",APPR-SHT-0010,Apparel,Shirts,1,Debit Card,"$1,275.61","Supplier_5, Supplier_4","Humphrey, Solomon and Brown",dhw-53536122,2025-04-04,2025-04-07,2025-04-07,Delivered
2025-05-02 01:17:02.535310,John Chapman,11:17:35,"South Travisstad, New York, Bahrain - 49068",APPR-SHT-0009,Apparel,Shirts,2,Debit Card,$838.60,"Supplier_6, Supplier_8",Martin-Farmer,zPj-74201076,2025-05-04,2025-05-06,,Out for Delivery
2025-04-16 19:17:28.293935,Joshua Castro,20:03:06,"South Eric, California, American Samoa - 97578",GROC-VEG-0001,Groceries,Vegetables,2,Paypal,"$1,578.70","Supplier_8, Supplier_6","Thompson, Williamson and Robinson",tvx-52261862,2025-04-16,2025-04-21,,Cancelled
2025-04-19 13:25:34.853595,Benjamin Tapia,20:17:48,"South Robertton, North Carolina, Mauritania - 70747",AUTO-BAT-0005,Automotive,Batteries,3,Paypal,$305.29,Supplier_6,"Moreno, Ross and Smith",UJS-16482708,2025-04-20,2025-04-25,2025-04-28,Delayed
2025-04-28 14:35:15.989050,Joshua Williams,00:26:16,"Jimmyview, Georgia, French Guiana - 17765",GROC-BEV-0009,Groceries,Beverages,1,Credit Card,$949.25,Supplier_7,Barber LLC,hss-56970514,2025-04-29,2025-05-03,,Cancelled
2025-04-10 05:18:55.001052,Cassandra Barber,03:46:56,"Keithfurt, Tennessee, Tuvalu - 87808",AUTO-BAT-0005,Automotive,Batteries,5,Debit Card,$305.29,Supplier_6,Warren LLC,YQE-95599922,2025-04-10,2025-04-16,,Out for Delivery
2025-04-21 20:40:21.720615,Amber Gregory,05:13:44,"New Sandrafort, Utah, Guadeloupe - 09475",APPR-JKT-0001,Apparel,Jackets,3,Credit Card,$572.79,Supplier_4,Wolf and Sons,HdG-53747845,2025-04-21,2025-04-27,,Cancelled
2025-04-30 11:05:44.104498,Whitney Ray,01:39:47,"Watkinsshire, Florida, American Samoa - 87413",AUTO-OIL-0002,Automotive,Oil,2,Paypal,"$1,570.51",Supplier_5,"Owen, Miller and Barnes",UlF-84364720,2025-05-02,2025-05-07,,In Transit
2025-04-19 04:22:32.499102,David Williams,08:02:59,"Hernandezland, South Dakota, Palau - 14821",GROC-BEV-0004,Groceries,Beverages,1,Debit Card,$501.70,Supplier_8,"Casey, Norman and Robinson",Bun-97545902,2025-04-20,2025-04-25,2025-04-25,Delivered
